Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
19000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAUC,2010,-1 - NO DEFINIDO,1,1,,1.074.400,42,32,1.074.400,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2010,-1 - NO DEFINIDO,1,22,6.407.815,74.326.672,2.847,1.843,80.673.330,6.346.658
RES002 - ECOPETROL,2010,"11 - Bogotá, D.C.",1,36,3.602.050,7.220.870,284,123,7.220.870,
ESS091 -  ECOOPSOS,2010,"11 - Bogotá, D.C.",1,21,,1.133.650,270,160,1.151.824,18.174
EPSS14 - HUMANA VIVIR,2010,"11 - Bogotá, D.C.",1,4,1.853.605,31.060,30,10,31.060,
EPSS02 - SALUD TOTAL,2010,"11 - Bogotá, D.C.",1,23,3.576.619,4.977.413,513,388,5.006.928,29.515
EPS039 - GOLDEN GROUP,2010,"11 - Bogotá, D.C.",1,6,155.670,435.789,64,17,524.089,88.300
EPS037 - NUEVA EPS,2010,"11 - Bogotá, D.C.",1,64,232.053.572,67.382.203,21.165,2.641,68.034.403,652.200
EPS030 - CONDOR,2010,"11 - Bogotá, D.C.",1,6,,694.400,24,16,694.400,
EPS026 - SOLSALUD,2010,"11 - Bogotá, D.C.",1,8,,317.208,22,22,322.120,4.912
EPS023 - CRUZ BLANCA,2010,"11 - Bogotá, D.C.",1,62,140.045.905,23.008.896,7.587,1.109,25.951.396,2.942.500
EPS020 - CAPRECOM,2010,"11 - Bogotá, D.C.",1,39,16.000,3.902.444,224,57,3.902.444,
EPS018 - SOS,2010,"11 - Bogotá, D.C.",1,2,,24.202,2,2,26.302,2.100
EPS017 - FAMISANAR,2010,"11 - Bogotá, D.C.",1,133,126.178.088,202.246.042,12.071,3.588,222.275.831,20.029.789
EPS016 - COOMEVA,2010,"11 - Bogotá, D.C.",1,27,317.150,411.567,396,220,448.067,36.500
EPS014 - HUMANA VIVIR,2010,"11 - Bogotá, D.C.",1,28,,8.167.479,501,241,3.432.401,5.117.082
EPS013 - SALUDCOOP,2010,"11 - Bogotá, D.C.",1,99,216.829.865,27.057.675,10.079,1.658,30.232.375,3.174.700
EPS010 - EPS SURA,2010,"11 - Bogotá, D.C.",1,49,71.775.593,18.657.956,4.141,495,19.218.470,2.185.300
EPS008 - COMPENSAR,2010,"11 - Bogotá, D.C.",1,1,,36.694,2,1,36.694,
EPS005 - SANITAS,2010,"11 - Bogotá, D.C.",1,24,152.800,5.799.133,400,218,5.834.433,115.900
EPS003 - CAFESALUD,2010,"11 - Bogotá, D.C.",1,65,170.168.108,21.392.063,8.697,1.288,24.359.863,2.967.800
EPS002 - SALUD TOTAL,2010,"11 - Bogotá, D.C.",1,39,377.400,21.634.867,2.550,1.108,21.648.297,13.430
EPS001 - ALIANSALUD,2010,"11 - Bogotá, D.C.",1,21,,1.795.654,1.312,351,1.795.654,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,"11 - Bogotá, D.C.",1,46,2.882.430,145.986.540,3.536,1.545,146.028.150,41.610
EMP017 - EMP COLMENA S.A,2010,"11 - Bogotá, D.C.",1,80,,219.400,1.748,723,206.000,
EMP015 - EMP MEDISANITAS S. A.,2010,"11 - Bogotá, D.C.",1,8,51.300,817.962,22,18,817.962,
EMP002 - EMP CAFESALUD,2010,"11 - Bogotá, D.C.",1,52,23.297.815,12.634.904,1.034,360,25.016.104,12.381.200
CCF101 - COLSUBSIDIO,2010,"11 - Bogotá, D.C.",1,24,883.300,3.438.158,209,107,1.503.038,4.120
CCF053 - COMFACUNDI,2010,"11 - Bogotá, D.C.",1,16,122.600,20.614.990,55,31,20.614.990,
73000 - DIRECCION DEPARTAMENTAL DE SALUD DE TOLI,2010,"11 - Bogotá, D.C.",1,2,,107.000,4,1,112.800,5.800
25000 - DIRECCION DEPARTAMENTAL DE SALUD DE CUND,2010,"11 - Bogotá, D.C.",1,1,,25.393,1,1,28.215,2.822
14-13 - ASEG AIG COLOMBIA SEGUROS DE VIDA S.A,2010,"11 - Bogotá, D.C.",1,1,,200.000,4,1,200.000,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2010,"11 - Bogotá, D.C.",1,16,968.600,16.896.486,595,365,18.338.032,1.441.546
RES002 - ECOPETROL,2010,13 - Bolívar,1,16,778.406,2.073.055,47,19,2.073.055,
ESS207 - MUTUAL SER,2010,13 - Bolívar,1,34,667.201,5.389.997,343,220,5.395.967,
ESS133 - COMPARTA,2010,13 - Bolívar,1,8,,760.600,32,21,90.451.444.960,900
ESS076 - AMBUQ,2010,13 - Bolívar,1,6,,188.859,11,7,188.859,
ESS024 - COOSALUD E.S.S.,2010,13 - Bolívar,1,14,602.400,10.994.898,551,165,11.471.398,
ESS002 - EMDISALUD,2010,13 - Bolívar,1,5,,365.730,21,10,371.700,
EPSS26 - SOLSALUD,2010,13 - Bolívar,1,1,329.611,,29,1,,
EPS037 - NUEVA EPS,2010,13 - Bolívar,1,6,1.120.296,2.733.442,285,117,2.799.042,65.600
EPS033 - SALUDVIDA,2010,13 - Bolívar,1,4,,409.400,20,11,419.900,
EPS026 - SOLSALUD,2010,13 - Bolívar,1,7,,1.475.501,78,68,1.475.501,
EPS020 - CAPRECOM,2010,13 - Bolívar,1,4,,1.134.196,60,26,1.134.196,
EPS016 - COOMEVA,2010,13 - Bolívar,1,14,,51.132,187,120,55.332,4.200
EPS014 - HUMANA VIVIR,2010,13 - Bolívar,1,2,,15.488,40,20,15.488,
EPS013 - SALUDCOOP,2010,13 - Bolívar,1,19,5.944.250,1.253.609,399,103,1.470.909,217.300
EPS010 - EPS SURA,2010,13 - Bolívar,1,7,2.270.561,858.412,155,23,1.040.547,131.500
EPS005 - SANITAS,2010,13 - Bolívar,1,1,,356.000,8,1,356.000,
EPS003 - CAFESALUD,2010,13 - Bolívar,1,6,598.482,182.357,59,21,264.257,81.900
EPS002 - SALUD TOTAL,2010,13 - Bolívar,1,13,606.863,3.685.386,304,182,3.693.386,8.000
EPS001 - ALIANSALUD,2010,13 - Bolívar,1,2,,,11,7,,
EMP017 - EMP COLMENA S.A,2010,13 - Bolívar,1,4,,,7,5,,
EMP002 - EMP CAFESALUD,2010,13 - Bolívar,1,3,1.112.207,70.100,49,6,119.500,49.400
ESS133 - COMPARTA,2010,15 - Boyacá,1,1,51.800,,7,1,,
ESS091 -  ECOOPSOS,2010,15 - Boyacá,1,6,200.851,1.051.694,80,28,1.051.694,26
ESS024 - COOSALUD E.S.S.,2010,15 - Boyacá,1,8,,1.604.700,78,26,1.604.700,
ESS002 - EMDISALUD,2010,15 - Boyacá,1,30,,3.605.371,192,134,3.605.371,
EPSS26 - SOLSALUD,2010,15 - Boyacá,1,1,199.014,,1,1,,
EPSS14 - HUMANA VIVIR,2010,15 - Boyacá,1,1,1.836.635,,175,41,,
EPS037 - NUEVA EPS,2010,15 - Boyacá,1,10,2.737.898,3.015.690,674,166,3.017.790,2.100
EPS033 - SALUDVIDA,2010,15 - Boyacá,1,6,,155.345,18,10,160.595,5.250
EPS026 - SOLSALUD,2010,15 - Boyacá,1,9,,276.900,17,13,279.000,2.100
EPS020 - CAPRECOM,2010,15 - Boyacá,1,117,32.300,49.692.996,2.742,571,49.698.640,22.576
EPS018 - SOS,2010,15 - Boyacá,1,1,,8.889,1,1,16.889,8.000
EPS017 - FAMISANAR,2010,15 - Boyacá,1,26,1.523.719,4.812.378,198,102,4.926.678,114.300
EPS016 - COOMEVA,2010,15 - Boyacá,1,17,234.318,299.268,161,69,318.068,18.800
EPS014 - HUMANA VIVIR,2010,15 - Boyacá,1,7,,496.392,149,53,260.152,314.160
EPS013 - SALUDCOOP,2010,15 - Boyacá,1,38,66.963.324,14.959.159,4.230,746,16.580.059,1.620.900
EPS009 - COMFENALCO ANTIOQUIA,2010,15 - Boyacá,1,1,,55.700,1,1,55.700,
EPS005 - SANITAS,2010,15 - Boyacá,1,4,,71.544,6,5,71.544,
EPS002 - SALUD TOTAL,2010,15 - Boyacá,1,3,326.247,103.480,20,3,119.480,16.000
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,15 - Boyacá,1,2,81.200,286.230,8,2,286.230,
EMP017 - EMP COLMENA S.A,2010,15 - Boyacá,1,1,,,8,4,,
CCF024 - COMFAMILIAR HUILA,2010,15 - Boyacá,1,37,,3.693.014,223,116,3.698.360,5.346
CCF009 - COMFABOY,2010,15 - Boyacá,1,38,97.500,2.635.042,249,169,2.640.982,5.940
15000 - DIRECCION DEPARTAMENTAL DE SALUD DE BOYA,2010,15 - Boyacá,1,31,6.476.707,52.475.513,1.950,576,49.607.540,2.867.973
RES002 - ECOPETROL,2010,17 - Caldas,1,1,,109.996,2,2,109.996,
ESS062 - ASMET SALUD,2010,17 - Caldas,1,19,,7.339.590,384,169,7.339.590,
EPS037 - NUEVA EPS,2010,17 - Caldas,1,36,15.286.367,10.434.071,2.150,316,10.773.205,339.134
EPS033 - SALUDVIDA,2010,17 - Caldas,1,3,,519.370,29,15,525.670,6.300
EPS030 - CONDOR,2010,17 - Caldas,1,3,,468.287,10,9,468.287,
EPS028 - CALISALUD,2010,17 - Caldas,1,1,2.036.569,89.699,6,3,89.699,
EPS026 - SOLSALUD,2010,17 - Caldas,1,2,,24.960,3,2,24.960,3.600
EPS020 - CAPRECOM,2010,17 - Caldas,1,41,560.576,15.758.418,698,172,15.758.418,13.400
EPS018 - SOS,2010,17 - Caldas,1,1,,49.999,1,1,49.999,
EPS017 - FAMISANAR,2010,17 - Caldas,1,1,,23.848,2,1,23.848,
EPS016 - COOMEVA,2010,17 - Caldas,1,30,1.543.211,4.680.396,596,179,5.050.256,294.800
EPS014 - HUMANA VIVIR,2010,17 - Caldas,1,1,,10.300,1,1,12.400,2.100
EPS013 - SALUDCOOP,2010,17 - Caldas,1,14,21.733.264,2.633.774,1.150,231,2.885.674,251.900
EPS010 - EPS SURA,2010,17 - Caldas,1,11,8.023.743,3.166.435,402,45,3.087.644,263.700
EPS005 - SANITAS,2010,17 - Caldas,1,2,,485.087,16,4,485.087,
EPS003 - CAFESALUD,2010,17 - Caldas,1,7,11.397.460,1.134.870,506,83,1.316.070,181.200
EPS002 - SALUD TOTAL,2010,17 - Caldas,1,15,682.971,8.105.019,705,313,8.111.019,8.000
EPS001 - ALIANSALUD,2010,17 - Caldas,1,1,,,4,2,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,17 - Caldas,1,4,,1.472.394,35,13,1.472.394,
EMP017 - EMP COLMENA S.A,2010,17 - Caldas,1,2,,,9,3,,
EMP002 - EMP CAFESALUD,2010,17 - Caldas,1,16,5.456.249,701.609,557,25,1.034.109,332.500
ESS062 - ASMET SALUD,2010,18 - Caquetá,1,25,22.200,7.242.590,315,168,7.242.590,
EPS037 - NUEVA EPS,2010,18 - Caquetá,1,7,172.000,231.334,17,7,252.034,18.700
EPS020 - CAPRECOM,2010,18 - Caquetá,1,25,11.600,6.130.100,259,70,6.130.100,
EPS016 - COOMEVA,2010,18 - Caquetá,1,8,,166.387,9,8,178.987,12.600
EPS013 - SALUDCOOP,2010,18 - Caquetá,1,6,1.776.441,1.135.593,205,54,1.195.293,59.700
EPS005 - SANITAS,2010,18 - Caquetá,1,1,,29.700,1,1,29.700,
41001 - DIRECCION LOCAL DE SALUD  DE NEIVA - HUI,2010,18 - Caquetá,1,1,,313.335,11,8,326.700,13.365
41000 - DIRECCION DEPARTAMENTAL DE SALUD DE HUIL,2010,18 - Caquetá,1,1,,144.045,5,5,148.500,5.940
ESS118 - EMSSANAR E.S.S.,2010,19 - Cauca,1,4,,573.632,18,12,393.483,
ESS062 - ASMET SALUD,2010,19 - Cauca,1,47,63.160,33.942.273,1.723,902,33.945.243,
EPSI03 -  AIC-EPSI-I,2010,19 - Cauca,1,34,620.077,18.874.629,956,478,18.874.629,
EPS037 - NUEVA EPS,2010,19 - Cauca,1,10,1.632.191,2.270.141,524,136,2.291.107,20.966
EPS034 - SALUDCOLOMBIA,2010,19 - Cauca,1,2,,39.200,2,2,41.200,2.000
EPS030 - CONDOR,2010,19 - Cauca,1,3,,944.500,51,29,944.500,
EPS020 - CAPRECOM,2010,19 - Cauca,1,42,,25.383.300,1.381,283,25.383.300,
EPS018 - SOS,2010,19 - Cauca,1,4,104.860,46.000,8,5,52.200,6.200
EPS016 - COOMEVA,2010,19 - Cauca,1,17,31.140,150.451,113,83,148.904,9.747
EPS013 - SALUDCOOP,2010,19 - Cauca,1,13,10.914.633,2.146.716,713,137,2.360.316,213.600
EPS005 - SANITAS,2010,19 - Cauca,1,5,,327.970,28,12,332.170,4.200
EPS003 - CAFESALUD,2010,19 - Cauca,1,2,162.600,27.428,12,3,27.428,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,19 - Cauca,1,1,,43.160,1,1,43.160,
19000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAUC,2010,19 - Cauca,1,1,,720.900,27,18,720.900,
RES002 - ECOPETROL,2010,20 - Cesar,1,1,,62.000,1,1,62.000,
ESS133 - COMPARTA,2010,20 - Cesar,1,2,73.340,101.160,10,7,15.878.925.750,150
ESS076 - AMBUQ,2010,20 - Cesar,1,10,,730.600,34,27,730.600,
ESS062 - ASMET SALUD,2010,20 - Cesar,1,13,67.730,1.449.420,78,51,1.449.420,
ESS024 - COOSALUD E.S.S.,2010,20 - Cesar,1,1,138.400,199.500,29,5,199.500,
EPSS26 - SOLSALUD,2010,20 - Cesar,1,2,70.815,,5,3,,
EPS037 - NUEVA EPS,2010,20 - Cesar,1,8,1.191.484,324.814,155,40,324.814,
EPS033 - SALUDVIDA,2010,20 - Cesar,1,8,,825.404,49,32,848.104,22.700
EPS026 - SOLSALUD,2010,20 - Cesar,1,14,,1.015.265,71,43,1.015.265,
EPS020 - CAPRECOM,2010,20 - Cesar,1,2,,58.800,3,2,58.800,
EPS017 - FAMISANAR,2010,20 - Cesar,1,7,477.630,398.298,41,17,398.298,
EPS016 - COOMEVA,2010,20 - Cesar,1,15,2.753.430,4.544.641,568,343,5.641.141,1.108.810
EPS014 - HUMANA VIVIR,2010,20 - Cesar,1,1,,,6,2,,
EPS013 - SALUDCOOP,2010,20 - Cesar,1,11,3.727.465,903.986,271,86,997.286,93.300
EPS003 - CAFESALUD,2010,20 - Cesar,1,1,64.800,29.710,10,3,33.910,4.200
EPS002 - SALUD TOTAL,2010,20 - Cesar,1,10,708.420,1.350.456,127,89,1.350.456,
EMP002 - EMP CAFESALUD,2010,20 - Cesar,1,1,72.571,,10,1,,
CCF015 - COMFACOR,2010,20 - Cesar,1,3,,3.427.300,3,3,3.427.300,
RES002 - ECOPETROL,2010,23 - Córdoba,1,1,,,2,1,,
ESS207 - MUTUAL SER,2010,23 - Córdoba,1,19,,4.067.434,227,116,4.067.434,
ESS184 - MANEXKA,2010,23 - Córdoba,1,3,,90.600,4,4,90.600,
ESS133 - COMPARTA,2010,23 - Córdoba,1,15,,3.649.404,175,140,563.366.426.184,5.250
ESS024 - COOSALUD E.S.S.,2010,23 - Córdoba,1,1,,41.400,2,1,41.400,
EPSS33 - SALUDVIDA,2010,23 - Córdoba,1,2,326.980,,22,2,,
EPSI02 - MANEXKA,2010,23 - Córdoba,1,6,,452.984,22,22,452.984,
EPS039 - GOLDEN GROUP,2010,23 - Córdoba,1,1,,17.160,2,2,19.260,2.100
EPS037 - NUEVA EPS,2010,23 - Córdoba,1,2,180.450,262.650,48,23,262.650,
EPS033 - SALUDVIDA,2010,23 - Córdoba,1,7,,731.866,38,19,736.066,4.200
EPS026 - SOLSALUD,2010,23 - Córdoba,1,2,,59.700,3,3,59.700,
EPS020 - CAPRECOM,2010,23 - Córdoba,1,31,,7.093.668,361,93,7.093.668,
EPS016 - COOMEVA,2010,23 - Córdoba,1,18,87.288,986.151,200,138,1.004.951,18.800
EPS014 - HUMANA VIVIR,2010,23 - Córdoba,1,1,,6.655,1,1,8.755,2.100
EPS013 - SALUDCOOP,2010,23 - Córdoba,1,20,18.573.208,5.332.631,1.579,398,5.787.131,454.500
EPS009 - COMFENALCO ANTIOQUIA,2010,23 - Córdoba,1,3,33.551,19.197,5,3,19.197,
EPS002 - SALUD TOTAL,2010,23 - Córdoba,1,2,,1.486.816,104,43,1.486.816,
EMP017 - EMP COLMENA S.A,2010,23 - Córdoba,1,8,,,30,20,,
CCF015 - COMFACOR,2010,23 - Córdoba,1,14,,4.156.538,210,129,4.158.538,2.000
RES002 - ECOPETROL,2010,25 - Cundinamarca,1,3,336.000,134.000,5,5,134.000,
ESS091 -  ECOOPSOS,2010,25 - Cundinamarca,1,43,28.800,2.686.805,453,255,2.686.805,
EPSS03 - CAFESALUD,2010,25 - Cundinamarca,1,1,,41.200,2,1,41.200,
EPSS02 - SALUD TOTAL,2010,25 - Cundinamarca,1,1,,,1,1,,
EPS039 - GOLDEN GROUP,2010,25 - Cundinamarca,1,1,,55.800,2,2,60.000,4.200
EPS037 - NUEVA EPS,2010,25 - Cundinamarca,1,32,5.846.209,1.447.755,713,177,1.532.555,84.800
EPS026 - SOLSALUD,2010,25 - Cundinamarca,1,2,,,4,4,,
EPS023 - CRUZ BLANCA,2010,25 - Cundinamarca,1,20,3.495.348,606.558,226,42,705.658,99.100
EPS020 - CAPRECOM,2010,25 - Cundinamarca,1,10,50.692,968.592,67,20,968.592,
EPS018 - SOS,2010,25 - Cundinamarca,1,2,,65.312,3,1,65.312,
EPS017 - FAMISANAR,2010,25 - Cundinamarca,1,104,27.395.520,35.697.537,3.013,1.098,39.162.237,3.464.700
EPS016 - COOMEVA,2010,25 - Cundinamarca,1,21,180.208,270.448,91,61,295.648,25.200
EPS014 - HUMANA VIVIR,2010,25 - Cundinamarca,1,8,,429.262,40,24,169.922,291.060
EPS013 - SALUDCOOP,2010,25 - Cundinamarca,1,45,44.134.140,7.312.461,2.462,494,8.021.461,709.000
EPS010 - EPS SURA,2010,25 - Cundinamarca,1,24,12.956.758,3.166.731,886,85,3.564.710,551.600
EPS005 - SANITAS,2010,25 - Cundinamarca,1,6,304.432,1.548.962,126,58,1.665.162,116.200
EPS003 - CAFESALUD,2010,25 - Cundinamarca,1,21,9.200.216,520.955,237,35,662.955,142.000
EPS002 - SALUD TOTAL,2010,25 - Cundinamarca,1,17,,1.947.315,224,101,1.947.315,
EPS001 - ALIANSALUD,2010,25 - Cundinamarca,1,5,,38.000,17,7,38.000,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2010,25 - Cundinamarca,1,5,,884.700,23,15,926.310,41.610
EMP017 - EMP COLMENA S.A,2010,25 - Cundinamarca,1,14,,,48,22,,
EMP002 - EMP CAFESALUD,2010,25 - Cundinamarca,1,10,634.634,532.202,45,15,1.060.002,527.800
CCF101 - COLSUBSIDIO,2010,25 - Cundinamarca,1,11,,2.933.112,171,64,1.844.922,
CCF018 - CAFAM,2010,25 - Cundinamarca,1,19,522.300,2.478.185,338,214,2.478.185,
41001 - DIRECCION LOCAL DE SALUD  DE NEIVA - HUI,2010,25 - Cundinamarca,1,1,,13.761,1,1,13.761,
25000 - DIRECCION DEPARTAMENTAL DE SALUD DE CUND,2010,25 - Cundinamarca,1,14,,1.366.139,72,63,1.443.704,77.565
ESS076 - AMBUQ,2010,27 - Chocó,1,1,,25.800,1,1,25.800,
EPS037 - NUEVA EPS,2010,27 - Chocó,1,2,,92.989,5,3,110.889,17.900
EPS020 - CAPRECOM,2010,27 - Chocó,1,6,353.774,810.794,63,13,810.794,
EPS016 - COOMEVA,2010,27 - Chocó,1,3,257.696,208.900,18,7,215.200,6.300
