	anno	departamento	zona	regimen_de_administradora	sexo	etapas_ciclo_vital	tipo_de_usuario	nivel_sisben	conteo_de_administradoras	conteo_de_prestadores	costo_procedimiento	neto_a_pagar_-_consulta	numero_de_atenciones	numero_personas_atendidas	valor_consulta	valor_cuota_moderadora_-_consulta
1723	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	42800.0	2	1	42800.0	0.0
1725	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	19260.0	1	1	21400.0	2140.0
1726	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	3	3	79600	108410.0	9	6	110550.0	2140.0
1727	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	5	7	2504235	95362.0	25	6	95362.0	2100.0
1728	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	3	5	201475	147960.0	11	9	160000.0	12040.0
1729	2011	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	2	65400	0.0	2	1	0.0	0.0
1730	2011	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	26265.0	1	1	26265.0	0.0
1735	2011	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	19260.0	1	1	21400.0	2140.0
1737	2012	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	2	0	80248.0	3	2	80248.0	0.0
1738	2012	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	3	3	0	71430.0	6	3	45165.0	8800.0
1739	2012	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	2	2	0	56002.0	5	2	56002.0	2200.0
1740	2012	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	27795.0	1	1	27795.0	0.0
1741	2012	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 15 a 18 años	3 - VINCULADO	NO REPORTADO	1	1	124525	0.0	8	1	0.0	0.0
1744	2012	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	27200	0.0	1	1	0.0	0.0
1745	2012	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	3	7	217496	139913.0	19	5	125478.0	13100.0
1747	2012	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	2	7700	18140.0	2	2	18140.0	0.0
1748	2012	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	11900.0	1	1	11900.0	0.0
1750	2012	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	3	3	45700	45300.0	5	3	45300.0	0.0
1751	2012	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	3	0	91895.0	3	3	91895.0	0.0
1753	2013	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	44108.0	2	1	44108.0	4600.0
1754	2013	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	4	9	675674	228653.0	33	7	193795.0	13800.0
1755	2013	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NIVEL 1	1	1	0	31700.0	1	1	34000.0	2300.0
1756	2013	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	34000.0	1	1	34000.0	0.0
1757	2013	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	3	0	81200.0	3	3	81200.0	0.0
1758	2013	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO APLICA	1	1	16300	38700.0	2	1	38700.0	0.0
1759	2013	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	1.0	1	1	1.0	0.0
1760	2013	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	3	5	0	106045.0	5	5	82256.0	6900.0
1762	2013	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	4	45713	131540.0	6	4	133900.0	2360.0
1763	2013	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	47200.0	2	1	47200.0	0.0
1766	2013	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	2	0	47200.0	2	1	47200.0	0.0
1767	2014	05 - Antioquia	Cabecera	NA : NO APLICA	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	421748	0.0	2	1	0.0	0.0
1771	2014	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	8755.0	1	1	8755.0	2400.0
1772	2014	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	3	0	211800.0	9	1	211800.0	0.0
1774	2014	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	5	247211	97097.0	25	3	92700.0	7200.0
1775	2014	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	2	5	173757	139710.0	20	5	109510.0	14400.0
1781	2014	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	4	255425	30200.0	13	1	30200.0	0.0
1786	2014	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	3	44300	43300.0	8	2	43300.0	0.0
1787	2015	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	1448421	0.0	3	1	0.0	0.0
1790	2015	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 1	1	1	38800	0.0	2	1	0.0	0.0
1792	2015	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	4	301118	0.0	29	3	0.0	0.0
1793	2015	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	155806.0	2	1	155806.0	0.0
1796	2015	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	2	1	0	46374.0	2	1	46374.0	0.0
1798	2015	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	12695.0	3	1	25800.0	0.0
1800	2015	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	2	9	1456325	358200.0	80	5	278100.0	12500.0
1801	2015	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NIVEL 2	1	1	0	8755.0	1	1	8755.0	2500.0
1802	2015	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	2	268825	36900.0	16	2	36900.0	5000.0
1803	2015	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	19675	0.0	1	1	0.0	0.0
1804	2015	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	25800.0	1	1	25800.0	0.0
1806	2016	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	35820.0	1	1	35820.0	0.0
1807	2016	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	36000	0.0	3	1	0.0	0.0
1809	2016	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	3	4	53842	27600.0	10	4	27600.0	2700.0
1810	2016	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	39800.0	1	1	39800.0	0.0
1811	2016	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	5	307300	124405.0	11	5	124405.0	0.0
1812	2016	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO APLICA	2	2	0	1.0	8	2	1.0	0.0
1813	2016	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	4	8	354946	133710.0	8	7	85410.0	5400.0
1814	2016	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO APLICA	1	1	0	262000.0	3	1	262000.0	0.0
1816	2016	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO APLICA	1	1	0	284000.0	2	1	284000.0	0.0
1818	2017	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	636000.0	6	1	636000.0	0.0
1819	2017	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	3	42588	347500.0	8	2	347500.0	0.0
1820	2017	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NIVEL 2	1	1	220053	0.0	6	1	0.0	0.0
1821	2017	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	4	10	126437	497584.0	30	9	383096.0	8700.0
1822	2017	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	3	36565	100500.0	4	2	100500.0	0.0
1823	2017	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	24700.0	1	1	27600.0	2900.0
1824	2017	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	2	7	218788	884021.0	14	6	0.0	11300.0
1825	2017	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO APLICA	1	2	13000	426000.0	4	1	426000.0	0.0
1826	2017	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	0.0	6	1	0.0	0.0
1828	2017	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NIVEL 2	1	1	0	103200.0	3	1	103200.0	0.0
1829	2017	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO APLICA	1	1	0	954000.0	9	1	954000.0	0.0
1830	2017	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	2	0	903100.0	11	3	903100.0	0.0
1834	2017	05 - Antioquia	Rural	SALUD: CONTRIBUTIVO	FEMENINO	De 15 a 18 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	8100	0.0	1	1	0.0	0.0
1835	2017	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 15 a 18 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	26500.0	1	1	29500.0	3000.0
1836	2010	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 19 a 26 años	3 - VINCULADO	NO REPORTADO	1	1	54315	0.0	5	1	0.0	0.0
1840	2010	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	5 - OTRO	NO REPORTADO	1	1	0	55700.0	1	1	55700.0	0.0
1841	2010	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	2	0	81800.0	2	2	81800.0	0.0
1842	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NIVEL 1	1	1	33303	20563.0	3	1	20563.0	2100.0
1843	2010	05 - Antioquia	Rural	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	2	175021	0.0	2	1	0.0	0.0
1844	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NIVEL 1	1	2	0	33825.0	2	1	43625.0	9800.0
1846	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NIVEL 2	1	1	69700	16400.0	5	1	16400.0	0.0
1847	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	12670.0	1	1	14770.0	2100.0
1848	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	8	23	2533690	727132.0	184	28	743138.0	62200.0
1849	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO APLICA	1	1	0	18540.0	1	1	20600.0	2060.0
1850	2010	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	4	10	2949827	295048.0	51	11	292046.0	34900.0
1851	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	0.0	1	1	24633.0	0.0
1853	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 1	1	1	148800	41200.0	9	2	41200.0	0.0
1854	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	2	2	0	59740.0	3	2	61800.0	2060.0
1855	2010	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 1	1	1	232000	0.0	2	1	0.0	0.0
1856	2010	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	2	0	70200.0	3	2	70200.0	0.0
1858	2010	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO APLICA	1	1	29328	0.0	1	1	0.0	0.0
1859	2010	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	37595	0.0	1	1	0.0	0.0
1861	2010	05 - Antioquia	Centro Poblado	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	14939.0	1	1	14939.0	0.0
1862	2010	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 1	1	3	0	84500.0	4	1	90800.0	6300.0
1864	2010	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	3 - VINCULADO	NO APLICA	1	1	0	23940.0	1	1	25200.0	1260.0
1868	2010	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	67671	0.0	1	1	0.0	0.0
1869	2010	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	2	168640	100988.0	17	2	106020.0	5032.0
1870	2010	05 - Antioquia	Rural	NA : NO APLICA	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	146923	0.0	1	1	0.0	0.0
1871	2010	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	3 - VINCULADO	NO REPORTADO	1	1	14960	0.0	2	1	0.0	0.0
1872	2010	05 - Antioquia	Rural	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	2	2	0	34532.0	2	2	36632.0	2100.0
1873	2010	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	20600.0	1	1	20600.0	0.0
1874	2010	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	1680272	0.0	9	1	0.0	0.0
1875	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	64200.0	3	3	64200.0	0.0
1876	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO APLICA	1	1	0	26834.0	2	1	38634.0	11800.0
1877	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 1	1	1	0	21400.0	1	1	21400.0	0.0
1878	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	6	26	3291968	1202441.0	235	25	1177156.0	52400.0
1879	2011	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	14800	0.0	1	1	0.0	0.0
1880	2011	05 - Antioquia	Rural	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	0.0	1	1	0.0	0.0
1881	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	5	10	279850	343825.0	30	11	338642.0	20900.0
1883	2011	05 - Antioquia	Rural	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO APLICA	1	1	0	35200.0	1	1	35200.0	0.0
1884	2011	05 - Antioquia	Centro Poblado	NA : NO APLICA	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	2.0	2	1	2.0	0.0
1885	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO APLICA	1	1	76700	96.0	4	1	96.0	0.0
1886	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	21400.0	1	1	21400.0	0.0
1888	2011	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	5 - OTRO	NO REPORTADO	1	2	0	103345.0	3	1	103345.0	0.0
1891	2011	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 1	1	1	24900	0.0	1	1	0.0	0.0
1892	2011	05 - Antioquia	Rural	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO APLICA	1	1	0	21400.0	1	1	21400.0	0.0
1893	2011	05 - Antioquia	Cabecera	NA : NO APLICA	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	2.0	2	1	2.0	0.0
1894	2011	05 - Antioquia	Cabecera	NA : NO APLICA	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	26265.0	1	1	26265.0	0.0
1895	2011	05 - Antioquia	Cabecera	NA : NO APLICA	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	2599	0.0	1	1	0.0	0.0
1896	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	1 - CONTRIBUTIVO	NIVEL 1	2	2	608000	42800.0	8	2	42800.0	4200.0
1897	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NIVEL 2	1	2	45145	19653.0	9	1	19653.0	2100.0
1898	2011	05 - Antioquia	Cabecera	SALUD: CONTRIBUTIVO	FEMENINO	De 19 a 26 años	5 - OTRO	NO REPORTADO	1	1	0	16400.0	1	1	16400.0	0.0
1899	2011	05 - Antioquia	Cabecera	SALUD: PREPAGADA	FEMENINO	De 19 a 26 años	5 - OTRO	NO REPORTADO	1	1	0	44450.0	1	1	44450.0	0.0
1900	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	1 - CONTRIBUTIVO	NO REPORTADO	1	1	0	19260.0	1	1	21400.0	2140.0
1901	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NIVEL 2	1	1	0	19260.0	1	1	21400.0	2140.0
1902	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	MASCULINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	4	4	61620	127210.0	9	5	130300.0	3090.0
1903	2011	05 - Antioquia	Cabecera	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	8 - DESPLAZADO NO ASEGURADO O VINCULADO	NO REPORTADO	1	1	0	58000.0	1	1	58000.0	0.0
1904	2011	05 - Antioquia	Centro Poblado	SALUD: SUBSIDIADO	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	1	0	20857.0	1	1	23175.0	2318.0
1910	2011	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	2 - SUBSIDIADO	NO REPORTADO	1	2	371105	47124.0	19	2	52360.0	5236.0
1911	2011	05 - Antioquia	Rural	NA : NO APLICA	FEMENINO	De 19 a 26 años	3 - VINCULADO	NO REPORTADO	1	2	403400	0.0	2	1	0.0	0.0
